episode_type,episode_index,disturber_index,step_index,action,reward,penalty,total_discounted_reward
warmup,1,7,0,1,1453.0064101219177,-199.99358987808228,1453.0064101219177
warmup,1,7,1,2,5016.005881309509,0.005881309509277344,5465.811115169525
warmup,1,7,2,2,0.008624553680419922,0.008624553680419922,5465.81663488388
warmup,1,7,3,5,0.007818222045898438,0.007818222045898438,5465.820637813568
warmup,1,7,4,1,0.01341867446899414,0.01341867446899414,5465.826134102631
warmup,1,7,5,5,0.015338659286499023,0.015338659286499023,5465.831160274506
warmup,1,7,6,4,0.0038938522338867188,0.0038938522338867188,5465.832181024506
warmup,1,7,7,5,0.003963947296142578,0.003963947296142578,5465.833012324506
warmup,1,7,8,4,0.006276369094848633,0.006276369094848633,5465.834065324506
warmup,1,7,9,8,0.006070613861083984,0.006070613861083984,5465.834880108506
warmup,1,7,10,6,0.01666402816772461,0.01666402816772461,5465.836669394906
warmup,1,7,11,3,0.004917144775390625,0.004917144775390625,5465.837091774426
warmup,1,7,12,1,0.0029954910278320312,0.0029954910278320312,5465.837297623002
warmup,1,7,13,7,0.004461050033569336,0.004461050033569336,5465.837542871821
warmup,1,7,14,7,0.003675699234008789,0.003675699234008789,5465.8377045307825
warmup,1,7,15,4,0.004715442657470703,0.004715442657470703,5465.837870440671
warmup,1,7,16,8,0.004407644271850586,0.004407644271850586,5465.837994504828
warmup,1,7,17,1,0.016726255416870117,0.016726255416870117,5465.838371146617
warmup,1,7,18,8,0.005114555358886719,0.005114555358886719,5465.838463282255
warmup,1,7,19,8,0.00602412223815918,0.00602412223815918,5465.838550099006
warmup,2,13,0,6,1998.0040109157562,0.004010915756225586,1998.0040109157562
warmup,2,13,1,2,8002.0138301849365,0.013830184936523438,8399.615075063706
warmup,3,1,0,3,3726.0086629390717,0.008662939071655273,3726.0086629390717
warmup,3,1,1,2,3228.005595445633,0.00559544563293457,6308.413139295579
warmup,3,1,2,1,1613.007776260376,-99.99222373962402,7340.7381161022195
warmup,3,1,3,2,0.007237434387207031,0.007237434387207031,7340.741821668626
warmup,3,1,4,4,0.002885580062866211,0.002885580062866211,7340.74300360222
warmup,3,1,5,5,0.02005457878112793,0.02005457878112793,7340.749575086595
