episode_type,episode_index,disturber_index,step_index,action,reward,penalty,total_discounted_reward
warmup,1,2,0,4,2.159600257873535,0.15960025787353516,2.159600257873535
warmup,1,2,1,1,7238.086121082306,0.0861210823059082,5792.628497123718
warmup,1,2,2,6,0.01287078857421875,0.01287078857421875,5792.636734428405
warmup,1,2,3,6,0.003296375274658203,0.003296375274658203,5792.638422172546
warmup,1,2,4,4,0.004531145095825195,0.004531145095825195,5792.640278129577
warmup,1,2,5,4,0.0029625892639160156,0.0029625892639160156,5792.641248910827
warmup,1,2,6,5,0.0033211708068847656,0.0033211708068847656,5792.642119535827
warmup,1,2,7,4,0.003853321075439453,0.003853321075439453,5792.642927635827
warmup,1,2,8,1,0.0030508041381835938,0.0030508041381835938,5792.643439475827
warmup,1,2,9,6,0.0033960342407226562,0.0033960342407226562,5792.643895283827
warmup,1,2,10,7,0.016963958740234375,0.016963958740234375,5792.645716775027
warmup,1,2,11,6,0.0031592845916748047,0.0031592845916748047,5792.6459881555065
warmup,1,2,12,1,0.0029354095458984375,0.0029354095458984375,5792.646189875314
warmup,1,2,13,1,0.002774953842163086,0.002774953842163086,5792.646342430015
warmup,1,2,14,6,0.0033249855041503906,0.0033249855041503906,5792.6464886644235
warmup,1,2,15,8,0.0023081302642822266,0.0023081302642822266,5792.646569874538
warmup,1,2,16,0,-3374.9972484111786,-4799.997248411179,5697.648842685031
warmup,1,2,17,0,0.0025091171264648438,0.0025091171264648438,5697.648899185326
warmup,1,2,18,7,0.0021295547485351562,0.0021295547485351562,5697.648937547973
warmup,1,2,19,8,0.0025000572204589844,0.0025000572204589844,5697.648973577595
warmup,2,2,0,6,1.0020840167999268,0.002084016799926758,1.0020840167999268
warmup,2,2,1,2,0.015344858169555664,0.015344858169555664,1.0143599033355712
warmup,2,2,2,0,-56274.99410057068,-61299.99410057068,-36014.98186446191
warmup,2,2,3,5,0.003784656524658203,0.003784656524658203,-36014.979926717766
warmup,2,2,4,7,0.0021817684173583984,0.0021817684173583984,-36014.97903306542
warmup,2,2,5,6,0.003083467483520508,0.003083467483520508,-36014.9780226748
warmup,2,2,6,1,3425.0031476020813,0.003147602081298828,-35117.1339975498
warmup,2,2,7,6,0.0033614635467529297,0.0033614635467529297,-35117.1332925998
warmup,2,2,8,6,0.003402233123779297,0.003402233123779297,-35117.1327217998
warmup,2,2,9,1,0.0029091835021972656,0.0029091835021972656,-35117.13233133579
warmup,2,2,10,8,0.0025599002838134766,0.0025599002838134766,-35117.132056468596
warmup,2,2,11,3,0.002730846405029297,0.002730846405029297,-35117.131821890674
warmup,2,2,12,6,0.002862691879272461,0.002862691879272461,-35117.13162516799
warmup,2,2,13,8,0.0023849010467529297,0.0023849010467529297,-35117.131494056666
warmup,2,2,14,4,0.003091573715209961,0.003091573715209961,-35117.13135808782
warmup,2,2,15,2,0.003030061721801758,0.003030061721801758,-35117.131251477
warmup,2,2,16,2,0.002574920654296875,0.002574920654296875,-35117.13117899943
warmup,2,2,17,8,0.0022284984588623047,0.0022284984588623047,-35117.1311288181
warmup,2,2,18,8,0.003358602523803711,0.003358602523803711,-35117.1310683149
warmup,2,2,19,1,0.003429412841796875,0.003429412841796875,-35117.13101889185
warmup,3,0,0,0,-56031.99759244919,-60999.99759244919,-56031.99759244919
warmup,3,0,1,3,0.002828359603881836,0.002828359603881836,-56031.99532976151
warmup,3,0,2,0,0.003210306167602539,0.003210306167602539,-56031.99327516556
