episode_type,episode_index,disturber_index,step_index,action,reward,penalty,total_discounted_reward
warmup,1,2,0,0,-46238.99638438225,-51199.99638438225,-46238.99638438225
warmup,1,2,1,5,0.0037784576416015625,0.0037784576416015625,-46238.993361616136
warmup,1,2,2,2,0.0033812522888183594,0.0033812522888183594,-46238.99119761467
warmup,1,2,3,6,0.004011869430541992,0.004011869430541992,-46238.98914353752
warmup,1,2,4,6,0.0035600662231445312,0.0035600662231445312,-46238.987685334396
warmup,1,2,5,1,3538.0037970542908,0.0037970542907714844,-45079.654601115646
warmup,1,2,6,3,0.0032134056091308594,0.0032134056091308594,-45079.65375874065
warmup,1,2,7,3,0.0030705928802490234,0.0030705928802490234,-45079.65311479065
warmup,1,2,8,0,0.0031800270080566406,0.0031800270080566406,-45079.65258127065
warmup,1,2,9,7,0.0025336742401123047,0.0025336742401123047,-45079.652241206655
warmup,1,2,10,3,0.0029637813568115234,0.0029637813568115234,-45079.651922973055
warmup,1,2,11,1,0.0027484893798828125,0.0027484893798828125,-45079.65168687962
warmup,1,2,12,2,0.002665996551513672,0.002665996551513672,-45079.651503673726
warmup,1,2,13,4,0.003238201141357422,0.003238201141357422,-45079.651325651736
warmup,1,2,14,6,0.0031790733337402344,0.0031790733337402344,-45079.65118583461
warmup,1,2,15,1,0.0025069713592529297,0.0025069713592529297,-45079.6510976284
warmup,1,2,16,3,0.002541780471801758,0.002541780471801758,-45079.65102608364
warmup,1,2,17,6,0.002514362335205078,0.002514362335205078,-45079.65096946523
warmup,1,2,18,7,0.0020530223846435547,0.0020530223846435547,-45079.650932481265
warmup,1,2,19,0,0.002882242202758789,0.002882242202758789,-45079.650890943776
warmup,2,0,0,2,4972.002197265625,0.002197265625,4972.002197265625
warmup,2,0,1,6,0.0036084651947021484,0.0036084651947021484,4972.005084037781
warmup,2,0,2,4,0.003826618194580078,0.003826618194580078,4972.007533073425
warmup,2,0,3,5,0.003983974456787109,0.003983974456787109,4972.009572868347
warmup,2,0,4,2,0.0039327144622802734,0.0039327144622802734,4972.011183708191
warmup,2,0,5,3,1791.0036327838898,0.003632783889770508,5558.887254098817
warmup,2,0,6,4,0.003125905990600586,0.003125905990600586,5558.888073536316
warmup,2,0,7,8,0.002608060836791992,0.002608060836791992,5558.8886204863165
warmup,2,0,8,5,0.003540515899658203,0.003540515899658203,5558.889214486317
warmup,2,0,9,5,0.003418445587158203,0.003418445587158203,5558.889673302317
warmup,2,0,10,4,0.0031278133392333984,0.0031278133392333984,5558.890009148717
